Q,k,l,kappa
0.00208474745368942,2.8,25.0,0.2
0.003012464616035711,1.4,25.0,0.2
1.3242424108662383e-5,7.000000000000001,30.0,0.2
0.00011520201903836344,0.7,26.0,0.2
0.002061242403421794,1.4,24.0,0.2
0.0014371616016448322,2.0999999999999996,24.0,0.2
0.0006287474683964902,0.7,24.0,0.2
2.2414141187735947e-5,0.0,24.0,0.2
5.996969636394246e-5,0.0,23.0,0.2
0.0004669696922528314,0.7,23.0,0.2
0.00031052524938863385,0.7,25.0,0.2
1.2737373608713398e-5,4.9,26.0,0.2
0.0003401414107056423,3.5,25.0,0.2
0.0003494444409147026,2.8,24.0,0.2
2.535353509743904e-5,3.5,24.0,0.2
3.2525252196714624e-6,0.7,28.0,0.2
2.395959571757984e-5,0.7,27.0,0.2
5.7242423664217944e-5,7.700000000000001,32.0,0.2
3.926262586603408e-5,10.499999999999998,38.0,0.2
5.2080807554739316e-5,5.6000000000000005,38.0,0.2
5.242424189470463e-6,4.9,38.0,0.2
6.521212055341293e-5,11.199999999999998,40.0,0.2
0.0007909090829201102,11.199999999999998,42.0,0.2
6.92020195030099e-5,11.899999999999997,42.0,0.2
2.888888859708193e-6,12.599999999999996,42.0,0.2
1.734343416824814e-5,11.899999999999997,41.0,0.2
7.474747399244976e-7,12.599999999999996,41.0,0.2
1.0545454438934804e-5,11.199999999999998,39.0,0.2
2.4454545207529846e-5,4.2,25.0,0.2
4.737373689521478e-6,6.300000000000001,28.0,0.2
5.949494889399041e-6,5.6000000000000005,27.0,0.2
9.909090808999083e-6,1.4,30.0,0.2
0.0006453030237848179,1.4,23.0,0.2
0.00018871716981093767,2.0999999999999996,23.0,0.2
2.0121211917967555e-5,2.8,23.0,0.2
5.660606003428222e-5,1.4,22.0,0.2
3.828282789613305e-6,3.5,36.0,0.2
5.3636363094582195e-6,7.700000000000001,31.0,0.2
8.080807999183757e-8,8.4,31.0,0.2
0.0001847777759113356,9.799999999999999,44.0,0.2
0.0005904646405003571,11.899999999999997,45.0,0.2
0.00046309090441322317,11.199999999999998,45.0,0.2
0.00015007070555484136,10.499999999999998,45.0,0.2
0.00021799999779797982,12.599999999999996,45.0,0.2
0.00042107070281746764,11.899999999999997,46.0,0.2
0.00018713131124109786,11.199999999999998,46.0,0.2
3.3787878446587085e-5,10.499999999999998,46.0,0.2
0.0003398383804056729,12.599999999999996,46.0,0.2
4.637373690531579e-5,9.1,44.0,0.2
8.960605970094889e-5,12.599999999999996,44.0,0.2
1.831313112815019e-5,6.300000000000001,40.0,0.2
0.00025947474485379045,12.599999999999996,47.0,0.2
0.00019965656363983268,13.299999999999995,47.0,0.2
4.096969655586165e-5,13.999999999999995,47.0,0.2
4.6767676295276e-6,14.699999999999994,47.0,0.2
0.00015629292771421286,11.899999999999997,47.0,0.2
3.813131274614835e-5,11.199999999999998,47.0,0.2
8.575757489133763e-5,13.299999999999995,46.0,0.2
1.2535353408733804e-5,13.999999999999995,46.0,0.2
2.3858585617590043e-5,13.299999999999995,45.0,0.2
9.606060509029692e-5,12.599999999999996,48.0,0.2
0.0001429898975455566,13.299999999999995,48.0,0.2
4.1808080385776964e-5,11.899999999999997,48.0,0.2
6.272727209366392e-6,8.4,44.0,0.2
3.2242423916743194e-5,8.4,43.0,0.2
1.564646448841955e-5,2.0999999999999996,22.0,0.2
2.5151514897459444e-6,2.8,22.0,0.2
1.9737373538006327e-5,2.8,33.0,0.2
3.002020171696766e-5,2.0999999999999996,31.0,0.2
2.5656565397408432e-6,8.4,32.0,0.2
5.3838383294561785e-6,9.1,34.0,0.2
2.828282799714315e-7,0.0,27.0,0.2
7.939393859198041e-6,7.700000000000001,43.0,0.2
1.101010089888787e-5,5.6000000000000005,39.0,0.2
2.7272726997245182e-5,7.000000000000001,41.0,0.2
6.367676703356801e-5,0.7,22.0,0.2
2.9949494646974802e-5,0.0,22.0,0.2
1.5262626108458323e-5,12.599999999999996,43.0,0.2
5.464646409448016e-6,13.299999999999995,44.0,0.2
2.932323202703806e-5,9.799999999999999,45.0,0.2
7.373737299255179e-7,7.000000000000001,29.0,0.2
1.7272727098255282e-6,9.799999999999999,35.0,0.2
2.363636339761249e-6,11.899999999999997,40.0,0.2
8.616161529129682e-6,0.0,25.0,0.2
1.4040403898581779e-6,4.2,24.0,0.2
1.3232323098663403e-6,0.0,26.0,0.2
4.34343429956127e-7,3.5,23.0,0.2
4.34343429956127e-7,4.2,37.0,0.2
1.1414141298847057e-6,0.7,29.0,0.2
5.353535299459239e-7,4.2,38.0,0.2
4.959595909499031e-6,9.1,45.0,0.2
1.3515151378634835e-5,11.199999999999998,48.0,0.2
1.9090908898071626e-6,10.499999999999998,47.0,0.2
6.695959528323641e-5,13.999999999999995,48.0,0.2
4.33333328956229e-6,14.699999999999994,48.0,0.2
8.181818099173555e-7,11.199999999999998,38.0,0.2
2.494949469747985e-6,9.799999999999999,46.0,0.2
5.535353479440874e-6,10.499999999999998,48.0,0.2
1.7575757398224672e-6,9.799999999999999,48.0,0.2
2.0565656357922664e-5,12.599999999999996,49.0,0.2
5.165656513478217e-5,13.299999999999995,49.0,0.2
3.0131312826956437e-5,13.999999999999995,49.0,0.2
5.111111059483727e-6,13.299999999999995,50.0,0.2
4.737373689521478e-6,13.999999999999995,50.0,0.2
3.232323199673503e-7,14.699999999999994,50.0,0.2
2.424242399755127e-6,15.399999999999993,50.0,0.2
1.2171717048770535e-5,14.699999999999994,49.0,0.2
6.161616099377615e-7,8.4,45.0,0.2
1.2424242298745027e-6,4.9,25.0,0.2
1.2121211998775638e-7,11.899999999999997,39.0,0.2
9.9999998989899e-7,1.4,31.0,0.2
1.8181817998163454e-7,10.499999999999998,36.0,0.2
6.161616099377615e-7,5.6000000000000005,26.0,0.2
4.696969649525559e-6,6.300000000000001,41.0,0.2
6.868686799306194e-7,5.6000000000000005,41.0,0.2
7.97979789919396e-7,13.999999999999995,45.0,0.2
4.0404039995918785e-8,11.899999999999997,38.0,0.2
7.575757499234773e-7,7.700000000000001,30.0,0.2
1.098989887888991e-5,11.899999999999997,49.0,0.2
1.6161615998367515e-6,12.599999999999996,50.0,0.2
8.585858499132743e-7,15.399999999999993,49.0,0.2
2.2828282597694114e-6,15.399999999999993,48.0,0.2
4.141414099581676e-7,9.1,33.0,0.2
5.464646409448016e-6,0.0,21.0,0.2
9.414141319049077e-6,0.7,21.0,0.2
1.0707070598918478e-6,1.4,32.0,0.2
3.535353499642894e-7,2.0999999999999996,33.0,0.2
1.1616161498826651e-6,11.199999999999998,49.0,0.2
3.3434343096622797e-6,1.4,21.0,0.2
3.3333332996633e-7,6.300000000000001,27.0,0.2
1.737373719824508e-6,9.1,46.0,0.2
0.017552838206536987,9.799999999999999,42.0,0.5
0.027310615885751354,10.499999999999998,42.0,0.5
0.015432363480481177,11.199999999999998,42.0,0.5
0.003829313092633201,11.899999999999997,42.0,0.5
0.00552678782296174,9.1,42.0,0.5
0.000988161606180186,8.4,42.0,0.5
0.014018939252333946,9.1,41.0,0.5
0.02902077748463861,9.799999999999999,41.0,0.5
0.02222808058355474,10.499999999999998,41.0,0.5
0.02802167648462953,9.799999999999999,40.0,0.5
0.027053595686327318,9.1,40.0,0.5
0.011143050392494441,10.499999999999998,40.0,0.5
