gamma,l,rho,f0
0.015333333333333332,6.0,0.5,0.05
1.8693333333333333,6.0,1.0,0.05
0.004857142857142858,7.0,0.0,0.05
0.004857142857142858,7.0,0.1,0.05
1.9851428571428573,7.0,0.5,0.05
1.672857142857143,7.0,1.0,0.05
0.01525,8.0,0.0,0.05
0.02425,8.0,0.1,0.05
1.82325,8.0,0.5,0.05
0.01025,8.0,1.0,0.05
0.011777777777777778,9.0,0.0,0.05
0.019777777777777776,9.0,0.1,0.05
0.05555555555555555,9.0,0.5,0.05
0.26511111111111113,9.0,1.0,0.05
0.211,10.0,0.0,0.05
0.11779999999999999,10.0,0.1,0.05
0.2164,10.0,0.5,0.05
0.22240000000000001,10.0,1.0,0.05
0.1910909090909091,11.0,0.0,0.05
0.356,11.0,0.1,0.05
0.24727272727272728,11.0,0.5,0.05
0.6005454545454545,11.0,1.0,0.05
0.3961666666666666,12.0,0.0,0.05
0.325,12.0,0.1,0.05
0.3918333333333333,12.0,0.5,0.05
0.36883333333333335,12.0,1.0,0.05
0.3344615384615385,13.0,0.0,0.05
0.3770769230769231,13.0,0.1,0.05
0.33353846153846156,13.0,0.5,0.05
0.3853846153846154,13.0,1.0,0.05
0.3335714285714286,14.0,0.0,0.05
0.5292857142857142,14.0,0.1,0.05
0.5810000000000001,14.0,0.5,0.05
0.48328571428571426,14.0,1.0,0.05
0.5350666666666667,15.0,0.0,0.05
0.49853333333333333,15.0,0.1,0.05
0.5670666666666667,15.0,0.5,0.05
0.8019999999999999,15.0,1.0,0.05
0.547375,16.0,0.0,0.05
0.53825,16.0,0.1,0.05
0.608125,16.0,0.5,0.05
0.629625,16.0,1.0,0.05
0.6261176470588236,17.0,0.0,0.05
0.5269411764705882,17.0,0.1,0.05
0.8072941176470588,17.0,0.5,0.05
0.7623529411764707,17.0,1.0,0.05
0.7306666666666666,18.0,0.0,0.05
0.6845555555555555,18.0,0.1,0.05
0.6756666666666667,18.0,0.5,0.05
0.6828888888888889,18.0,1.0,0.05
0.7465263157894736,19.0,0.0,0.05
0.7387368421052631,19.0,0.1,0.05
0.8201052631578948,19.0,0.5,0.05
0.6065263157894737,19.0,1.0,0.05
0.8164999999999999,20.0,0.0,0.05
0.8118000000000001,20.0,0.1,0.05
0.905,20.0,0.5,0.05
0.8442000000000001,20.0,1.0,0.05
0.7652380952380953,21.0,0.0,0.05
0.7795238095238096,21.0,0.1,0.05
0.8661904761904763,21.0,0.5,0.05
0.8693333333333333,21.0,1.0,0.05
0.8192727272727273,22.0,0.0,0.05
0.775,22.0,0.1,0.05
0.7776363636363637,22.0,0.5,0.05
0.9090909090909091,22.0,1.0,0.05
0.9222608695652174,23.0,0.0,0.05
0.8590434782608696,23.0,0.1,0.05
0.9421739130434783,23.0,0.5,0.05
0.8243478260869566,23.0,1.0,0.05
0.8492500000000001,24.0,0.0,0.05
0.8734166666666666,24.0,0.1,0.05
0.9124166666666667,24.0,0.5,0.05
0.9186666666666666,24.0,1.0,0.05
0.84736,25.0,0.0,0.05
0.8668,25.0,0.1,0.05
0.99536,25.0,0.5,0.05
0.8247199999999999,25.0,1.0,0.05
0.8644615384615384,26.0,0.0,0.05
0.910923076923077,26.0,0.1,0.05
0.9996923076923078,26.0,0.5,0.05
1.0348461538461537,26.0,1.0,0.05
0.9302222222222222,27.0,0.0,0.05
0.943925925925926,27.0,0.1,0.05
0.9418518518518518,27.0,0.5,0.05
0.9586666666666667,27.0,1.0,0.05
1.008,28.0,0.0,0.05
1.0166428571428572,28.0,0.1,0.05
1.0705714285714285,28.0,0.5,0.05
0.9499285714285713,28.0,1.0,0.05
