gamma,l,rho
22.0,26.0,1.0
38.0,37.0,2.0
36.0,33.0,5.0
22.0,25.0,0.0
38.0,37.0,0.1
14.0,21.0,0.5
28.0,29.0,1.0
36.0,34.0,2.0
36.0,36.0,5.0
20.0,24.0,0.0
24.0,27.0,0.1
24.0,27.0,0.5
24.0,26.0,1.0
20.0,25.0,2.0
28.0,26.0,5.0
8.0,16.0,0.0
10.0,16.0,0.1
12.0,17.0,0.5
20.0,22.0,1.0
28.0,29.0,2.0
24.0,26.0,5.0
26.0,30.0,0.0
14.0,20.0,0.1
18.0,24.0,0.5
18.0,23.0,1.0
20.0,22.0,2.0
36.0,33.0,5.0
40.0,42.0,0.0
48.0,42.0,0.1
38.0,36.0,0.5
36.0,34.0,1.0
6.0,14.0,2.0
10.0,16.0,5.0
30.0,30.0,0.0
6.0,15.0,0.1
18.0,22.0,0.5
14.0,19.0,1.0
40.0,36.0,2.0
32.0,31.0,5.0
18.0,23.0,0.0
48.0,43.0,0.1
22.0,24.0,0.5
18.0,23.0,1.0
14.0,15.0,2.0
40.0,38.0,5.0
32.0,32.0,0.0
42.0,42.0,0.1
10.0,17.0,0.5
42.0,39.0,1.0
38.0,35.0,2.0
16.0,20.0,5.0
34.0,35.0,0.0
16.0,22.0,0.1
18.0,21.0,0.5
16.0,21.0,1.0
20.0,25.0,2.0
26.0,17.0,5.0
24.0,26.0,0.0
30.0,33.0,0.1
32.0,30.0,0.5
20.0,24.0,1.0
52.0,46.0,2.0
28.0,27.0,5.0
