p_l,l,kappa
0.011291553333333332,138.0,20.0
0.013589771428571429,139.0,20.0
0.007808664761904762,140.0,20.0
0.008764070476190476,141.0,20.0
0.0030887095238095238,142.0,20.0
0.0017467552380952382,143.0,20.0
0.0001608904761904762,144.0,20.0
0.00014975658536585366,123.0,40.0
0.0003706131707317073,124.0,40.0
0.0012135121951219513,125.0,40.0
0.0038777326829268293,126.0,40.0
0.013827475609756097,127.0,40.0
0.050955206829268296,128.0,40.0
0.17273775609756098,129.0,40.0
0.5481497609756097,130.0,40.0
0.14766365902439024,131.0,40.0
0.042660313658536585,132.0,40.0
0.012416750731707317,133.0,40.0
0.004068609268292683,134.0,40.0
0.001512468780487805,135.0,40.0
0.00021538,136.0,40.0
0.00018100439024390245,137.0,40.0
