gamma,l,kappa
0.42727272727272725,110.0,8.0
0.509090909090909,110.0,10.0
0.4727272727272728,110.0,12.0
0.4818181818181818,110.0,14.0
0.4909090909090909,110.0,16.0
0.509090909090909,110.0,18.0
0.5,110.0,20.0
0.45,120.0,0.0
0.475,120.0,2.0
0.4833333333333333,120.0,4.0
0.4833333333333333,120.0,6.0
0.4833333333333333,120.0,8.0
0.5166666666666667,120.0,10.0
0.5,120.0,12.0
0.525,120.0,14.0
0.5166666666666667,120.0,16.0
0.525,120.0,18.0
0.5166666666666667,120.0,20.0
0.46923076923076923,130.0,0.0
0.5076923076923077,130.0,2.0
0.5076923076923077,130.0,4.0
0.5153846153846154,130.0,6.0
0.5153846153846154,130.0,8.0
0.5307692307692308,130.0,10.0
0.5230769230769231,130.0,12.0
0.5307692307692308,130.0,14.0
0.48461538461538456,130.0,16.0
0.49230769230769234,130.0,18.0
0.5307692307692308,130.0,20.0
0.5142857142857143,140.0,0.0
0.48571428571428565,140.0,2.0
0.5428571428571429,140.0,4.0
0.5214285714285715,140.0,6.0
0.5357142857142857,140.0,8.0
0.5571428571428572,140.0,10.0
0.5214285714285715,140.0,12.0
0.5357142857142857,140.0,14.0
0.55,140.0,16.0
0.5357142857142857,140.0,18.0
0.55,140.0,20.0
